"dimen","variable","value"
"p = 20","Yes",11.4723457329983
"p = 20","Yes",11.6545789788644
"p = 20","Yes",12.1119074974106
"p = 20","Yes",10.579659300105
"p = 20","Yes",11.7623986245083
"p = 20","Yes",10.408522903759
"p = 20","Yes",9.89236981573366
"p = 20","Yes",11.620889537882
"p = 20","Yes",10.4401556229556
"p = 20","Yes",11.5136058603949
"p = 20","Yes",11.2713703437462
"p = 20","Yes",11.6474441127369
"p = 20","Yes",11.6029205072809
"p = 20","Yes",11.6789102144153
"p = 20","Yes",10.686203226888
"p = 20","Yes",10.8068603405218
"p = 20","Yes",11.7093085491781
"p = 20","Yes",10.421561725345
"p = 20","Yes",11.4841164364475
"p = 20","Yes",12.1077200114178
"p = 20","Yes",10.9518926230943
"p = 20","Yes",11.6831644357397
"p = 20","Yes",10.912054374313
"p = 20","Yes",12.5716157966475
"p = 20","Yes",11.2208072039144
"p = 20","Yes",11.5341285140388
"p = 20","Yes",12.0790805806687
"p = 20","Yes",12.8555684848228
"p = 20","Yes",12.1081406331331
"p = 20","Yes",10.1405760969525
"p = 20","Yes",11.2859159827449
"p = 20","Yes",12.9709608382833
"p = 20","Yes",10.7485929618515
"p = 20","Yes",13.8056312287125
"p = 20","Yes",10.3802177787967
"p = 20","Yes",10.1686414724549
"p = 20","Yes",11.5022641606203
"p = 20","Yes",10.2995349364799
"p = 20","Yes",10.0396969858248
"p = 20","Yes",12.7183333623733
"p = 20","Yes",13.9669546791859
"p = 20","Yes",12.8984979765047
"p = 20","Yes",10.2778323350884
"p = 20","Yes",13.118917703561
"p = 20","Yes",12.4439534059433
"p = 20","Yes",11.2317783529362
"p = 20","Yes",11.4512395394771
"p = 20","Yes",12.6854077218022
"p = 20","Yes",10.490838830776
"p = 20","Yes",11.7946926658045
"p = 20","Yes",11.4272887130718
"p = 20","Yes",12.9540185889724
"p = 20","Yes",11.8659253690143
"p = 20","Yes",13.6974256541501
"p = 20","Yes",14.3268408832553
"p = 20","Yes",11.4583236905585
"p = 20","Yes",12.7009319759838
"p = 20","Yes",13.689734296767
"p = 20","Yes",11.9818942081762
"p = 20","Yes",10.6600494626989
"p = 20","Yes",13.4026657668877
"p = 20","Yes",11.5673124489953
"p = 20","Yes",13.3862802139861
"p = 20","Yes",11.1698691609593
"p = 20","Yes",10.4204693129015
"p = 20","Yes",11.6190950687581
"p = 20","Yes",13.6041024191044
"p = 20","Yes",10.0390748068539
"p = 20","Yes",11.3369158642388
"p = 20","Yes",12.8037398595473
"p = 20","Yes",10.6130826698951
"p = 20","Yes",10.1465559165383
"p = 20","Yes",10.7243365725001
"p = 20","Yes",10.6002306090013
"p = 20","Yes",11.3630041329904
"p = 20","Yes",11.5711345047175
"p = 20","Yes",13.2748073506739
"p = 20","Yes",10.3381131845863
"p = 20","Yes",12.2616088314918
"p = 20","Yes",13.5979536776243
"p = 20","Yes",11.532952036817
"p = 20","Yes",12.9111228977421
"p = 20","Yes",11.8503299007191
"p = 20","Yes",10.0233192587043
"p = 20","Yes",9.48462333426537
"p = 20","Yes",12.3374223169362
"p = 20","Yes",11.5191200469641
"p = 20","Yes",11.8881212878785
"p = 20","Yes",11.7755250707226
"p = 20","Yes",12.1496496821922
"p = 20","Yes",12.4638635454296
"p = 20","Yes",11.1896780272377
"p = 20","Yes",12.5843235690198
"p = 20","Yes",10.7755957935434
"p = 20","Yes",12.2949865822342
"p = 20","Yes",11.1493490087348
"p = 20","Yes",12.8259264287751
"p = 20","Yes",11.9031461641371
"p = 20","Yes",11.829409920663
"p = 20","Yes",9.99337663963683
"p = 20","Yes",12.992114371488
"p = 20","Yes",12.1604146775017
"p = 20","Yes",11.2828684726595
"p = 20","Yes",12.2339706039796
"p = 20","Yes",10.9060540355493
"p = 20","Yes",11.4590321280883
"p = 20","Yes",10.3308545490053
"p = 20","Yes",10.6904849193419
"p = 20","Yes",10.6728984641024
"p = 20","Yes",12.3459109183687
"p = 20","Yes",11.9883243039674
"p = 20","Yes",9.67316502766766
"p = 20","Yes",12.0512819746033
"p = 20","Yes",10.0159517227262
"p = 20","Yes",10.3091893737696
"p = 20","Yes",10.4171103801129
"p = 20","Yes",11.9360642036022
"p = 20","Yes",12.2775465320938
"p = 20","Yes",11.7387741257682
"p = 20","Yes",12.2835499256358
"p = 20","Yes",11.9239758171737
"p = 20","Yes",10.8034457060566
"p = 20","Yes",12.4095183217247
"p = 20","Yes",10.1118029308061
"p = 20","Yes",12.1443330588074
"p = 20","Yes",12.3817764465275
"p = 20","Yes",10.6959076714069
"p = 20","Yes",12.8146696540743
"p = 20","Yes",12.2053739153704
"p = 20","Yes",13.198485656115
"p = 20","Yes",12.2195484922971
"p = 20","Yes",10.5625282103444
"p = 20","Yes",9.79819874206751
"p = 20","Yes",14.5275439661341
"p = 20","Yes",12.0370985729987
"p = 20","Yes",12.2123973059279
"p = 20","Yes",13.423409433025
"p = 20","Yes",12.4202921978073
"p = 20","Yes",11.7910224606232
"p = 20","Yes",10.1909095626599
"p = 20","Yes",9.97658891411255
"p = 20","Yes",12.8118966281197
"p = 20","Yes",12.6753256492647
"p = 20","Yes",13.7671161020603
"p = 20","Yes",11.259146010175
"p = 20","Yes",11.6760145911498
"p = 20","Yes",13.2468353236992
"p = 20","Yes",10.9338462142254
"p = 20","Yes",11.3802301469393
"p = 20","Yes",12.4178432470891
"p = 20","Yes",9.96171337726234
"p = 20","Yes",11.0966809004333
"p = 20","Yes",13.1804757956284
