"pos.1" "pos.2" "b.mod" "sep.dist" "pic_name"
1 1 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
1 2 6.92820323027551 2.43027241226035e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 3 4.47213595499958 7.06746201940441e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 4 5.65685424949238 2.2894832918536e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 5 5.65685424949238 1.22348575377624e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 6 6 1.95277359419942e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 7 5.09901951359278 0.000355691820969888 "plot_large_p_small_n_30_10_0_1_1.png"
1 8 6.78232998312527 2.43655434100848e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 9 6 1.05248698353575e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 10 15.3622914957372 0.772440884419683 "plot_large_p_small_n_30_10_0_1_1.png"
1 11 4.47213595499958 1.41463721273703e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 12 6 2.44973523965971e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 13 4.47213595499958 1.16790903507462e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 14 5.47722557505166 1.08691826600532e-07 "plot_large_p_small_n_30_10_0_1_1.png"
1 15 3.46410161513775 4.54583404874752e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 16 8.48528137423857 6.8434762160934e-07 "plot_large_p_small_n_30_10_0_1_1.png"
1 17 9.16515138991168 2.41403804640553e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 18 4.47213595499958 0.000123502376841616 "plot_large_p_small_n_30_10_0_1_1.png"
1 19 5.8309518948453 2.26105820163476e-05 "plot_large_p_small_n_30_10_0_1_1.png"
1 20 8 1.87674383810734e-05 "plot_large_p_small_n_30_10_0_1_1.png"
2 1 6.92820323027551 2.43027241226035e-05 "plot_large_p_small_n_30_10_0_1_1.png"
2 2 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
2 3 6.16441400296898 9.49773443166475e-05 "plot_large_p_small_n_30_10_0_1_1.png"
2 4 5.8309518948453 1.40789120406743e-06 "plot_large_p_small_n_30_10_0_1_1.png"
2 5 8.24621125123532 1.20678665848411e-05 "plot_large_p_small_n_30_10_0_1_1.png"
2 6 4.69041575982343 4.77498818060923e-06 "plot_large_p_small_n_30_10_0_1_1.png"
