"dimen","variable","value"
"p = 20","Yes",12.1714134937356
"p = 20","Yes",10.2927160512042
"p = 20","Yes",12.0359553458233
"p = 20","Yes",11.6725856928898
"p = 20","Yes",10.3909213473942
"p = 20","Yes",10.5187941289619
"p = 20","Yes",12.6990572022225
"p = 20","Yes",11.9247556198415
"p = 20","Yes",11.1754028054765
"p = 20","Yes",11.123716561371
"p = 20","Yes",10.8920948465896
"p = 20","Yes",10.3779452634976
"p = 20","Yes",12.167934138223
"p = 20","Yes",12.0275231291474
"p = 20","Yes",12.4059415840416
"p = 20","Yes",10.5521985731307
"p = 20","Yes",11.1654182284152
"p = 20","Yes",11.3076983855596
"p = 20","Yes",10.4741807705858
"p = 20","Yes",10.5799939688726
"p = 20","Yes",9.62877652368841
"p = 20","Yes",10.561367714195
"p = 20","Yes",10.5501997894978
"p = 20","Yes",10.221285711932
"p = 20","Yes",11.1053073075971
"p = 20","Yes",12.0752221158568
"p = 20","Yes",15.8831800585263
"p = 20","Yes",11.3165561295913
"p = 20","Yes",12.203849671559
"p = 20","Yes",12.2745825654827
"p = 20","Yes",11.7528872170838
"p = 20","Yes",11.438341028677
"p = 20","Yes",11.8515196865392
"p = 20","Yes",10.9098768865988
"p = 20","Yes",11.9526749167271
"p = 20","Yes",11.4998386695954
"p = 20","Yes",12.1679102974668
"p = 20","Yes",12.2660408921032
"p = 20","Yes",11.4196275957535
"p = 20","Yes",10.3872278016021
"p = 20","Yes",11.6518799940865
"p = 20","Yes",10.7390091487702
"p = 20","Yes",12.771382335532
"p = 20","Yes",9.93284294460136
"p = 20","Yes",11.6185648638063
"p = 20","Yes",11.6732207410379
"p = 20","Yes",10.7744138962227
"p = 20","Yes",13.3477701126397
"p = 20","Yes",9.97061969221034
"p = 20","Yes",12.995924304609
"p = 20","Yes",12.0436242644572
"p = 20","Yes",12.8207973775458
"p = 20","Yes",12.1023061113516
"p = 20","Yes",11.9104892122667
"p = 20","Yes",11.2564595139721
"p = 20","Yes",11.4331785480687
"p = 20","Yes",11.9676627367126
"p = 20","Yes",12.2851932668805
"p = 20","Yes",11.4515924687368
"p = 20","Yes",12.9650465304943
"p = 20","Yes",11.1008549156843
"p = 20","Yes",8.93971365363919
"p = 20","Yes",10.15225594223
"p = 20","Yes",12.1580958450597
"p = 20","Yes",14.7340457064771
"p = 20","Yes",10.1333350321231
"p = 20","Yes",11.7935912180611
"p = 20","Yes",10.0400612740701
"p = 20","Yes",11.0776891878702
"p = 20","Yes",13.7819080868563
"p = 20","Yes",12.0472749704082
"p = 20","Yes",13.3548481829304
"p = 20","Yes",10.9250034753716
"p = 20","Yes",11.2222130723866
"p = 20","Yes",11.8397609441168
"p = 20","Yes",12.9428544469023
"p = 20","Yes",11.5546201680408
"p = 20","Yes",11.0632511929929
"p = 20","Yes",11.6101372577665
"p = 20","Yes",10.4217140000368
"p = 20","Yes",12.9713189864043
"p = 20","Yes",10.4263448562116
"p = 20","Yes",10.7599994957267
"p = 20","Yes",11.8648718138064
"p = 20","Yes",11.8445748073857
"p = 20","Yes",10.4701717754888
"p = 20","Yes",12.2074411542786
"p = 20","Yes",11.4718690404609
"p = 20","Yes",10.647573531398
"p = 20","Yes",12.3015774497555
"p = 20","Yes",10.7061966893784
"p = 20","Yes",11.5181468864998
"p = 20","Yes",9.79199078404213
"p = 20","Yes",9.97122005708821
"p = 20","Yes",11.2767577778871
"p = 20","Yes",12.2795853668506
"p = 20","Yes",11.1682191276308
"p = 20","Yes",12.5727874493493
"p = 20","Yes",11.2214218365642
"p = 20","Yes",12.4020043456363
"p = 20","Yes",10.7291688613904
"p = 20","Yes",12.2764317775743
"p = 20","Yes",10.6738934287777
"p = 20","Yes",10.4155818074659
"p = 20","Yes",12.3423142483939
"p = 20","Yes",11.134311063112
"p = 20","Yes",11.2209745625812
"p = 20","Yes",11.6599703491374
"p = 20","Yes",11.9312655302541
"p = 20","Yes",11.89591490546
"p = 20","Yes",12.4538543298221
"p = 20","Yes",10.1480602253655
"p = 20","Yes",12.3050479684704
"p = 20","Yes",9.86540841501826
"p = 20","Yes",10.8055494860304
"p = 20","Yes",10.9808801632125
"p = 20","Yes",13.0366237036973
"p = 20","Yes",10.465192879645
"p = 20","Yes",11.2325106986675
"p = 20","Yes",10.4142201084496
"p = 20","Yes",10.8052263003443
"p = 20","Yes",11.0395008469211
"p = 20","Yes",10.5528667106121
"p = 20","Yes",11.2425236848475
"p = 20","Yes",12.0820784670823
"p = 20","Yes",12.8513954582502
"p = 20","Yes",11.0036586732838
"p = 20","Yes",10.4211854262338
"p = 20","Yes",11.0823104493077
"p = 20","Yes",9.41102517231163
"p = 20","Yes",12.2632281005452
"p = 20","Yes",9.63166244796937
"p = 20","Yes",13.093567942471
"p = 20","Yes",11.5262746574797
"p = 20","Yes",10.9588207272212
"p = 20","Yes",13.3697235255602
"p = 20","Yes",12.3667145432949
"p = 20","Yes",13.1428725947443
"p = 20","Yes",11.2753925739142
"p = 20","Yes",12.0148978867899
"p = 20","Yes",11.31136107123
