"LD1" "cl" "y"
-7.0612865896754 1 1.5
-6.30051274474554 1 1.5
-5.97441089800366 1 1.5
-7.34664389303627 1 1.5
-7.9036955380049 1 1.5
-7.7923695284462 1 1.5
-7.46151528096176 1 1.5
-6.22122811253958 1 1.5
-5.44956325465302 1 1.5
-6.60256357799357 1 1.5
-5.18250084189353 1 1.5
-5.84992520795673 1 1.5
-7.19234990388402 1 1.5
-8.07581685016924 1 1.5
-6.27304033539574 1 1.5
6.34619978453536 2 1.5
5.85654644943924 2 1.5
7.42491327815604 2 1.5
6.65223653676628 2 1.5
7.99326550639068 2 1.5
8.18125245146629 2 1.5
6.95740143019584 2 1.5
8.12842135729919 2 1.5
7.35190327767224 2 1.5
5.29701063510834 2 1.5
5.00870843704205 2 1.5
6.98610227214993 2 1.5
5.35735475125533 2 1.5
5.59983657968624 2 1.5
7.54626981019639 2 1.5
